,_id,id,vertical,FS,description,price
0,63c3dd9ea85c4e5eed251db7,0,education,IT DEV Specialist, Skilled in programming languages such as Java,54
1,63c3dd9ea85c4e5eed251db8,1,education,IT DEV Specialist, Experienced in developing and maintaining complex software systems.,55
2,63c3dd9ea85c4e5eed251db9,2,education,IT DEV Specialist, Knowledgeable in Agile development methodologies and DevOps practices.,53
3,63c3dd9ea85c4e5eed251dba,3,education,IT DEV Specialist, Strong problem-solving skills and ability to work well in a team.,55
4,63c3dd9ea85c4e5eed251dbb,4,education,IT DEV Specialist, Proficient in using development tools such as Git and JIRA.,52
5,63c3dd9ea85c4e5eed251dbc,5,education,IT DEV Specialist, Well-versed in Object-Oriented Programming concepts and design patterns.,51
6,63c3dd9ea85c4e5eed251dbd,6,education,IT DEV Specialist, Knowledgeable in database management and SQL.,53
7,63c3dd9ea85c4e5eed251dbe,7,education,IT DEV Specialist, Adept at creating and implementing software testing plans.,55
8,63c3dd9ea85c4e5eed251dbf,8,education,IT DEV Specialist, Strong analytical skills and ability to understand customer requirements.,54
9,63c3dd9ea85c4e5eed251dc0,9,education,IT DEV Specialist, Proficient in JavaScript and front-end web development frameworks.,52
10,63c3dd9ea85c4e5eed251dc1,10,education,IT DEV Specialist, Experienced in cloud computing technologies and deployment.,55
11,63c3dd9ea85c4e5eed251dc2,11,education,IT DEV Specialist, Strong understanding of software development lifecycle and best practices.,55
12,63c3dd9ea85c4e5eed251dc3,12,education,IT DEV Specialist, Able to work independently and manage projects from start to finish.,54
13,63c3dd9ea85c4e5eed251dc4,13,education,IT DEV Specialist, Skilled in debugging and troubleshooting code.,51
14,63c3dd9ea85c4e5eed251dc5,14,education,IT DEV Specialist, Proficient in working with cross-functional teams and collaborating with stakeholders.,54
15,63c3dd9ea85c4e5eed251dc6,15,education,IT DEV Specialist, Adept at creating and maintaining technical documentation.,55
16,63c3dd9ea85c4e5eed251dc7,16,education,IT DEV Specialist, Experienced in leading software development teams and mentoring junior developers.,55
17,63c3dd9ea85c4e5eed251dc8,17,education,IT DEV Specialist, Strong understanding of software architecture and design principles.,53
18,63c3dd9ea85c4e5eed251dc9,18,education,IT DEV Specialist, Proficient in C# and the .NET framework.,54
19,63c3dd9ea85c4e5eed251dca,19,education,IT DEV Specialist, Able to work with a wide range of technologies and platforms.,54
20,63c3dd9ea85c4e5eed251dcb,20,education,IT DEV Specialist, Strong analytical and problem-solving skills.,54
21,63c3dd9ea85c4e5eed251dcc,21,education,IT DEV Specialist, Knowledgeable in Scrum and Kanban methodologies.,55
22,63c3dd9ea85c4e5eed251dcd,22,education,IT DEV Specialist, Skilled in using version control systems like Git and SVN.,55
23,63c3dd9ea85c4e5eed251dce,23,education,IT DEV Specialist, Experienced in working with Linux and Unix operating systems.,54
24,63c3dd9ea85c4e5eed251dcf,24,education,IT DEV Specialist, Proficient in working with RESTful APIs and web services.,52
25,63c3dd9ea85c4e5eed251dd0,25,education,IT DEV Specialist, Strong understanding of security principles and how to apply them in software development.,55
26,63c3dd9ea85c4e5eed251dd1,26,education,IT DEV Specialist, Adept at identifying and addressing performance issues in software systems.,51
27,63c3dd9ea85c4e5eed251dd2,27,education,IT DEV Specialist, Skilled in front-end development using HTML,51
28,63c3dd9ea85c4e5eed251dd3,28,education,IT DEV Specialist, Knowledgeable in Big data and data mining concepts.,54
29,63c3dd9ea85c4e5eed251dd4,29,education,IT DEV Specialist, Proficient in working with front-end development frameworks such as React and Angular.,52
30,63c3dd9ea85c4e5eed251dd5,30,education,IT DEV Specialist, Experienced in developing mobile applications for iOS and Android.,53
31,63c3dd9ea85c4e5eed251dd6,31,education,IT DEV Specialist, Strong understanding of agile development methodologies.,51
32,63c3dd9ea85c4e5eed251dd7,32,education,IT DEV Specialist, Adept at working with test-driven development and continuous integration.,53
33,63c3dd9ea85c4e5eed251dd8,33,education,IT DEV Specialist, Skilled in working with microservices and containerization.,52
34,63c3dd9ea85c4e5eed251dd9,34,education,IT DEV Specialist, Proficient in working with cloud-native technologies such as Kubernetes and Docker.,55
35,63c3dd9ea85c4e5eed251dda,35,education,IT DEV Specialist, Knowledgeable in data structure and algorithm.,55
36,63c3dd9ea85c4e5eed251ddb,36,education,IT DEV Specialist, Experienced in working with Virtualization and Cloud Technologies.,53
37,63c3dd9ea85c4e5eed251ddc,37,education,IT DEV Specialist, Strong understanding of IT infrastructure and network concepts.,54
38,63c3dd9ea85c4e5eed251ddd,38,education,IT DEV Specialist, Skilled in working with NoSQL databases.,52
39,63c3dd9ea85c4e5eed251dde,39,education,IT DEV Specialist, Adept at working with machine learning and artificial intelligence technologies.,55
40,63c3dd9ea85c4e5eed251ddf,40,education,IT DEV Specialist, Proficient in using AWS and Azure for cloud computing.,54
41,63c3dd9ea85c4e5eed251de0,41,education,IT DEV Specialist, Knowledgeable in load balancing and high availability concepts.,55
42,63c3dd9ea85c4e5eed251de1,42,education,IT DEV Specialist, Experienced in working with IT service management frameworks such as ITIL.,54
43,63c3dd9ea85c4e5eed251de2,43,education,IT DEV Specialist, Strong understanding of software engineering principles and best practices.,54
44,63c3dd9ea85c4e5eed251de3,44,education,IT DEV Specialist, Skilled in working with DevOps tools such as Ansible and Terraform.,51
45,63c3dd9ea85c4e5eed251de4,45,education,IT DEV Specialist, Adept at working with virtualization technologies such as VMware and Hyper-V.,55
46,63c3dd9ea85c4e5eed251de5,46,education,IT DEV Specialist, Proficient in working with different programming languages and technologies.,51
47,63c3dd9ea85c4e5eed251de6,47,education,IT DEV Specialist, Knowledgeable in software testing methodologies.,51
48,63c3dd9ea85c4e5eed251de7,49,education,Kayaking coach, Experienced kayaking instructor with a passion for the outdoors.,155
49,63c3dd9ea85c4e5eed251de8,50,education,Kayaking coach, Skilled in teaching both beginner and advanced paddling techniques.,152
50,63c3dd9ea85c4e5eed251de9,51,education,Kayaking coach, Knowledgeable in river rescue and safety procedures.,155
51,63c3dd9ea85c4e5eed251dea,52,education,Kayaking coach, Adept at leading group and individual kayaking excursions.,151
52,63c3dd9ea85c4e5eed251deb,53,education,Kayaking coach, Strong understanding of different types of kayaks and their appropriate uses.,153
53,63c3dd9ea85c4e5eed251dec,54,education,Kayaking coach, Proficient in using safety and rescue equipment.,151
54,63c3dd9ea85c4e5eed251ded,55,education,Kayaking coach, Experienced in whitewater kayaking and river navigation.,155
55,63c3dd9ea85c4e5eed251dee,56,education,Kayaking coach, Skilled in teaching proper kayak-handling and self-rescue techniques.,153
56,63c3dd9ea85c4e5eed251def,57,education,Kayaking coach, Adept at providing personalized coaching to improve paddling skills.,152
57,63c3dd9ea85c4e5eed251df0,58,education,Kayaking coach, Strong understanding of weather,152
58,63c3dd9ea85c4e5eed251df1,59,education,Kayaking coach, Proficient in teaching proper kayak-fitting and outfitting.,155
59,63c3dd9ea85c4e5eed251df2,60,education,Kayaking coach, Experienced in working with both children and adult students.,155
60,63c3dd9ea85c4e5eed251df3,61,education,Kayaking coach, Skilled in leading multi-day kayaking trips.,152
61,63c3dd9ea85c4e5eed251df4,62,education,Kayaking coach, Adept at teaching basic and advance kayaking skills to all levels.,151
62,63c3dd9ea85c4e5eed251df5,63,education,Kayaking coach, Strong understanding of different paddling environments such as lakes,154
63,63c3dd9ea85c4e5eed251df6,64,education,Kayaking coach, Proficient in teaching kayak rolling and bracing techniques.,154
64,63c3dd9ea85c4e5eed251df7,65,education,Kayaking coach, Experienced in working with adaptive kayaking and teaching to people with disabilities.,153
65,63c3dd9ea85c4e5eed251df8,66,education,Kayaking coach, Skilled in teaching group management and leadership skills.,155
66,63c3dd9ea85c4e5eed251df9,67,education,Kayaking coach, Adept at providing equipment maintenance and repair instruction.,155
67,63c3dd9ea85c4e5eed251dfa,68,education,Kayaking coach, Strong understanding of the principles of kayak design and dynamics.,151
68,63c3dd9ea85c4e5eed251dfb,69,education,Kayaking coach, Proficient in teaching kayak safety and rescue techniques.,152
69,63c3dd9ea85c4e5eed251dfc,70,education,Kayaking coach, Experienced in teaching and leading trips for youth groups.,153
70,63c3dd9ea85c4e5eed251dfd,71,education,Kayaking coach, Skilled in working with people from a variety of backgrounds and skill levels.,152
71,63c3dd9ea85c4e5eed251dfe,72,education,Kayaking coach, Adept at teaching proper paddling techniques to improve efficiency and speed.,151
72,63c3dd9ea85c4e5eed251dff,73,education,Kayaking coach, Strong understanding of the local environment and area regulations.,153
73,63c3dd9ea85c4e5eed251e00,74,education,Kayaking coach, Proficient in teaching basic navigation and trip planning skills.,151
